r= 2 
Inference for Stan model: tensor2d_kron.
4 chains, each with iter=600; warmup=500; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=400.

          mean se_mean   sd  2.5%   25%   50%   75% 97.5% n_eff  Rhat
U[1,1]   -0.07    0.12 0.17 -0.24 -0.21 -0.12  0.02  0.24     2 12.21
U[1,2]   -0.04    0.12 0.18 -0.27 -0.20 -0.02  0.14  0.18     2 13.01
U[2,1]   -0.07    0.12 0.18 -0.24 -0.22 -0.13  0.03  0.25     2 11.88
U[2,2]   -0.04    0.13 0.18 -0.27 -0.21 -0.02  0.14  0.18     2 12.50
U[3,1]   -0.11    0.12 0.22 -0.50 -0.28 -0.11  0.05  0.28     3  1.61
U[3,2]   -0.07    0.15 0.25 -0.48 -0.27 -0.09  0.12  0.45     3  1.73
U[4,1]   -0.07    0.12 0.18 -0.25 -0.22 -0.13  0.02  0.24     2 12.10
U[4,2]   -0.04    0.13 0.18 -0.28 -0.21 -0.02  0.14  0.18     2 12.57
U[5,1]   -0.09    0.15 0.21 -0.30 -0.26 -0.14  0.02  0.29     2  9.83
U[5,2]   -0.04    0.15 0.22 -0.34 -0.26 -0.02  0.17  0.23     2  9.18
U[6,1]   -0.11    0.09 0.15 -0.35 -0.23 -0.10  0.00  0.19     3  2.02
U[6,2]   -0.06    0.16 0.24 -0.37 -0.27 -0.12  0.17  0.40     2  2.63
U[7,1]    0.03    0.06 0.09 -0.12 -0.01  0.06  0.10  0.12     2  9.01
U[7,2]    0.01    0.06 0.09 -0.09 -0.07  0.01  0.10  0.14     2  8.40
U[8,1]   -0.10    0.14 0.20 -0.31 -0.25 -0.16  0.01  0.27     2  9.55
U[8,2]   -0.05    0.15 0.22 -0.32 -0.26 -0.03  0.16  0.23     2 10.48
U[9,1]   -0.07    0.12 0.18 -0.24 -0.22 -0.12  0.03  0.24     2 11.79
U[9,2]   -0.03    0.12 0.18 -0.27 -0.21 -0.02  0.14  0.18     2 12.16
U[10,1]  -0.05    0.08 0.12 -0.17 -0.15 -0.09  0.02  0.17     2 11.17
U[10,2]  -0.02    0.09 0.12 -0.19 -0.14 -0.01  0.10  0.12     2 11.37
U[11,1]  -0.06    0.11 0.15 -0.22 -0.19 -0.11  0.02  0.21     2 11.11
U[11,2]  -0.03    0.11 0.16 -0.24 -0.18 -0.02  0.12  0.16     2 12.28
U[12,1]  -0.05    0.08 0.12 -0.17 -0.14 -0.08  0.02  0.16     2 10.73
U[12,2]  -0.02    0.08 0.12 -0.19 -0.13 -0.02  0.10  0.12     2 10.87
U[13,1]  -0.07    0.13 0.19 -0.26 -0.23 -0.13  0.03  0.26     2 12.11
U[13,2]  -0.04    0.13 0.19 -0.29 -0.22 -0.02  0.15  0.19     2 12.08
U[14,1]  -0.06    0.12 0.17 -0.24 -0.20 -0.11  0.04  0.25     2  8.63
U[14,2]  -0.03    0.11 0.16 -0.27 -0.17 -0.03  0.14  0.18     2  8.71
U[15,1]  -0.03    0.05 0.07 -0.11 -0.08 -0.05  0.00  0.08     2  6.43
U[15,2]  -0.02    0.05 0.07 -0.12 -0.09 -0.01  0.05  0.08     2  7.66
U[16,1]  -0.03    0.09 0.13 -0.21 -0.15 -0.03  0.07  0.21     2  5.60
U[16,2]  -0.01    0.08 0.12 -0.22 -0.09 -0.02  0.09  0.18     2  5.20
U[17,1]  -0.01    0.10 0.15 -0.29 -0.13  0.02  0.12  0.19     2  2.88
U[17,2]   0.00    0.06 0.11 -0.20 -0.08 -0.01  0.07  0.20     3  1.95
U[18,1]  -0.03    0.05 0.08 -0.11 -0.10 -0.06  0.01  0.11     2 10.23
U[18,2]  -0.02    0.06 0.08 -0.13 -0.10 -0.01  0.06  0.08     2 11.02
U[19,1]  -0.01    0.08 0.12 -0.21 -0.12  0.01  0.08  0.20     2  4.31
U[19,2]   0.00    0.07 0.11 -0.21 -0.07 -0.01  0.06  0.19     2  3.47
U[20,1]   0.11    0.08 0.12 -0.09  0.00  0.12  0.22  0.29     2  2.52
U[20,2]   0.04    0.13 0.19 -0.30 -0.12  0.09  0.18  0.30     2  3.40
U[21,1]  -0.04    0.07 0.10 -0.15 -0.12 -0.08  0.01  0.13     2  9.40
U[21,2]  -0.02    0.07 0.10 -0.16 -0.12 -0.01  0.07  0.11     2  8.94
U[22,1]  -0.04    0.07 0.10 -0.14 -0.12 -0.07  0.01  0.14     2 10.74
U[22,2]  -0.02    0.07 0.10 -0.16 -0.12 -0.01  0.08  0.10     2 10.37
U[23,1]   0.02    0.02 0.03 -0.04  0.00  0.02  0.04  0.06     3  2.14
U[23,2]   0.01    0.02 0.03 -0.06 -0.02  0.01  0.03  0.05     2  2.53
U[24,1]  -0.02    0.05 0.07 -0.12 -0.08 -0.03  0.01  0.11     2  4.10
U[24,2]  -0.01    0.05 0.07 -0.13 -0.08 -0.01  0.05  0.08     2  4.17
U[25,1]  -0.01    0.00 0.01 -0.02 -0.01 -0.01  0.00  0.01     4  1.46
U[25,2]   0.00    0.01 0.01 -0.03 -0.02 -0.01  0.01  0.02     3  2.00
U[26,1]  -0.10    0.20 0.28 -0.37 -0.34 -0.19  0.06  0.39     2 12.55
U[26,2]  -0.05    0.20 0.28 -0.43 -0.31 -0.03  0.23  0.28     2 11.78
U[27,1]   0.01    0.01 0.01 -0.01  0.00  0.01  0.02  0.03     3  2.05
U[27,2]   0.00    0.01 0.01 -0.02 -0.01  0.00  0.02  0.03     2  2.92
U[28,1]   0.01    0.08 0.15 -0.29 -0.11  0.02  0.11  0.29     4  1.48
U[28,2]   0.01    0.07 0.15 -0.25 -0.07  0.02  0.11  0.27     4  1.33
U[29,1]  -0.01    0.03 0.04 -0.06 -0.04 -0.01  0.02  0.06     2  4.97
U[29,2]  -0.01    0.03 0.04 -0.07 -0.04  0.00  0.03  0.05     2  4.43
U[30,1]  -0.01    0.01 0.02 -0.04 -0.02 -0.02  0.00  0.03     3  1.92
U[30,2]  -0.01    0.02 0.03 -0.05 -0.03 -0.01  0.02  0.03     2  2.42
U[31,1]  -0.08    0.12 0.17 -0.26 -0.22 -0.12  0.01  0.24     2  9.54
U[31,2]  -0.04    0.13 0.18 -0.29 -0.20 -0.02  0.14  0.18     2 10.05
U[32,1]   0.00    0.02 0.04 -0.07 -0.03  0.00  0.02  0.06     2  2.46
U[32,2]   0.00    0.02 0.04 -0.08 -0.02  0.00  0.02  0.07     3  2.08
U[33,1]  -0.02    0.10 0.15 -0.21 -0.15 -0.02  0.09  0.23     2  8.08
U[33,2]  -0.01    0.09 0.13 -0.22 -0.12 -0.01  0.08  0.18     2  6.36
U[34,1]  -0.09    0.15 0.22 -0.41 -0.26 -0.11  0.04  0.36     2  3.91
U[34,2]  -0.03    0.14 0.21 -0.41 -0.20 -0.05  0.17  0.27     2  4.07
U[35,1]   0.00    0.03 0.05 -0.08 -0.03  0.00  0.03  0.09     3  1.97
U[35,2]   0.00    0.02 0.04 -0.09 -0.03  0.00  0.03  0.07     4  1.58
U[36,1]   0.04    0.05 0.07 -0.09  0.00  0.06  0.10  0.12     2  6.61
U[36,2]   0.02    0.05 0.08 -0.09 -0.06  0.01  0.09  0.13     2  6.87
U[37,1]   0.22    0.17 0.70 -1.10 -0.29  0.23  0.71  1.52    16  1.18
U[37,2]   0.14    0.25 0.76 -1.44 -0.32  0.14  0.64  1.53     9  1.15
U[38,1]   0.08    0.12 0.20 -0.39 -0.08  0.12  0.23  0.34     3  2.22
U[38,2]   0.04    0.16 0.25 -0.39 -0.20  0.14  0.25  0.44     2  2.32
U[39,1]   0.09    0.07 0.11 -0.09  0.00  0.08  0.18  0.29     2  2.68
U[39,2]   0.03    0.09 0.14 -0.21 -0.10  0.03  0.15  0.23     2  3.02
U[40,1]  -0.01    0.06 0.10 -0.16 -0.08 -0.04  0.06  0.18     2  2.29
U[40,2]  -0.01    0.05 0.08 -0.16 -0.07 -0.01  0.06  0.14     3  1.88
U[41,1]  -0.03    0.05 0.09 -0.19 -0.12 -0.03  0.04  0.13     3  1.89
U[41,2]  -0.02    0.06 0.10 -0.20 -0.09 -0.04  0.06  0.18     3  2.20
U[42,1]  -0.07    0.15 0.21 -0.30 -0.25 -0.13  0.06  0.32     2  8.07
U[42,2]  -0.04    0.15 0.22 -0.37 -0.25 -0.01  0.18  0.23     2  7.57
U[43,1]  -0.07    0.08 0.12 -0.23 -0.15 -0.11 -0.01  0.16     2  3.86
U[43,2]  -0.04    0.10 0.15 -0.27 -0.18 -0.04  0.11  0.19     2  4.35
U[44,1]  -0.05    0.05 0.08 -0.17 -0.09 -0.07  0.00  0.11     2  2.69
U[44,2]  -0.02    0.06 0.09 -0.16 -0.10 -0.02  0.07  0.10     2  3.15
U[45,1]   0.01    0.06 0.09 -0.14 -0.08  0.03  0.07  0.14     2  4.73
U[45,2]  -0.01    0.05 0.08 -0.14 -0.04 -0.01  0.04  0.12     2  3.66
U[46,1]   0.01    0.05 0.13 -0.26 -0.07  0.02  0.09  0.25     6  1.34
U[46,2]   0.01    0.05 0.12 -0.22 -0.08  0.00  0.10  0.23     6  1.29
U[47,1]  -0.03    0.17 0.26 -0.46 -0.25 -0.01  0.17  0.46     2  2.86
U[47,2]   0.00    0.15 0.23 -0.46 -0.11  0.00  0.14  0.42     2  3.03
U[48,1]  -0.05    0.07 0.11 -0.23 -0.14 -0.05  0.03  0.17     3  2.11
U[48,2]  -0.02    0.08 0.12 -0.22 -0.11 -0.05  0.09  0.23     2  2.45
U[49,1]  -0.10    0.10 0.15 -0.31 -0.20 -0.15  0.00  0.21     2  4.54
U[49,2]  -0.04    0.13 0.19 -0.28 -0.22 -0.04  0.12  0.27     2  5.67
U[50,1]  -0.11    0.15 0.27 -0.54 -0.31 -0.15  0.07  0.40     3  1.72
U[50,2]  -0.05    0.16 0.28 -0.49 -0.27 -0.09  0.16  0.50     3  1.64
U[51,1]  -0.03    0.09 0.12 -0.18 -0.14 -0.06  0.03  0.20     2  6.86
U[51,2]  -0.02    0.08 0.12 -0.20 -0.13  0.00  0.10  0.13     2  6.57
U[52,1]   0.08    0.13 0.19 -0.28 -0.04  0.13  0.23  0.30     2  5.90
U[52,2]   0.04    0.14 0.20 -0.21 -0.15  0.01  0.23  0.34     2  5.92
U[53,1]   0.01    0.02 0.05 -0.08 -0.02  0.01  0.04  0.09     8  1.24
U[53,2]   0.00    0.02 0.05 -0.09 -0.03  0.01  0.03  0.11     5  1.32
U[54,1]  -0.14    0.28 0.40 -0.55 -0.47 -0.27  0.06  0.59     2  9.73
U[54,2]  -0.08    0.28 0.40 -0.63 -0.47 -0.04  0.31  0.41     2  9.65
U[55,1]   0.00    0.11 0.16 -0.24 -0.12 -0.01  0.16  0.25     2  4.90
U[55,2]   0.01    0.09 0.13 -0.20 -0.08  0.01  0.09  0.24     2  4.01
U[56,1]   0.00    0.04 0.07 -0.09 -0.05 -0.01  0.06  0.14     2  2.43
U[56,2]   0.01    0.03 0.06 -0.10 -0.04  0.01  0.04  0.11     3  2.17
U[57,1]   0.04    0.03 0.06 -0.07  0.01  0.05  0.08  0.16     5  1.35
U[57,2]   0.01    0.03 0.06 -0.09 -0.03  0.00  0.06  0.14     4  1.42
U[58,1]   0.08    0.33 0.48 -0.74 -0.30  0.21  0.49  0.69     2  5.24
U[58,2]   0.02    0.32 0.46 -0.64 -0.39 -0.07  0.43  0.78     2  4.99
U[59,1]   0.09    0.09 0.13 -0.16  0.02  0.14  0.18  0.27     2  4.78
U[59,2]   0.04    0.12 0.17 -0.23 -0.11  0.06  0.20  0.25     2  6.49
U[60,1]   0.07    0.13 0.19 -0.26 -0.06  0.09  0.24  0.30     2  6.65
U[60,2]   0.03    0.14 0.20 -0.24 -0.14  0.01  0.18  0.35     2  6.09
U[61,1]  -0.40    0.35 0.52 -1.18 -0.77 -0.54 -0.01  0.65     2  3.25
U[61,2]  -0.15    0.46 0.67 -1.04 -0.77 -0.24  0.48  0.91     2  4.52
U[62,1]   0.02    0.29 0.41 -0.60 -0.31 -0.01  0.43  0.65     2  5.63
U[62,2]   0.02    0.24 0.36 -0.58 -0.23  0.05  0.23  0.64     2  4.13
U[63,1]  -0.15    0.35 0.52 -0.85 -0.58 -0.26  0.24  0.82     2  3.91
U[63,2]  -0.07    0.34 0.50 -0.97 -0.45 -0.10  0.39  0.70     2  3.60
U[64,1]   0.04    0.17 0.29 -0.51 -0.17  0.02  0.28  0.55     3  1.67
U[64,2]   0.02    0.18 0.31 -0.50 -0.20  0.03  0.23  0.64     3  1.73
U[65,1]  -0.06    0.08 0.14 -0.31 -0.16 -0.06  0.03  0.21     3  1.69
U[65,2]  -0.01    0.09 0.16 -0.38 -0.10  0.00  0.09  0.24     3  1.71
U[66,1]   0.04    0.12 0.21 -0.40 -0.08  0.07  0.18  0.41     3  1.83
U[66,2]   0.02    0.11 0.20 -0.30 -0.13  0.00  0.16  0.42     3  1.82
U[67,1]   0.07    0.06 0.09 -0.12  0.01  0.08  0.12  0.26     3  1.95
U[67,2]   0.02    0.07 0.11 -0.13 -0.08  0.00  0.12  0.21     3  2.24
U[68,1]  -0.41    0.31 0.47 -1.14 -0.81 -0.51  0.00  0.43     2  2.93
U[68,2]  -0.14    0.45 0.67 -1.09 -0.70 -0.27  0.46  1.08     2  3.46
U[69,1]  -0.07    0.14 0.20 -0.31 -0.24 -0.12  0.04  0.30     2  4.78
U[69,2]  -0.03    0.14 0.20 -0.37 -0.20 -0.04  0.17  0.24     2  4.77
U[70,1]  -0.11    0.10 0.21 -0.48 -0.27 -0.11  0.04  0.28     5  1.46
U[70,2]  -0.07    0.15 0.26 -0.46 -0.30 -0.09  0.14  0.42     3  1.71
U[71,1]  -0.16    0.23 0.35 -0.69 -0.44 -0.20  0.08  0.50     2  3.28
U[71,2]  -0.07    0.24 0.36 -0.69 -0.38 -0.03  0.26  0.43     2  3.36
U[72,1]  -0.07    0.21 0.30 -0.45 -0.32 -0.13  0.13  0.44     2  5.86
U[72,2]  -0.04    0.20 0.29 -0.54 -0.29 -0.01  0.23  0.38     2  4.45
U[73,1]  -0.10    0.26 0.37 -0.56 -0.41 -0.14  0.17  0.58     2  5.98
U[73,2]  -0.05    0.23 0.34 -0.59 -0.36  0.00  0.27  0.43     2  5.22
U[74,1]   0.01    0.12 0.19 -0.32 -0.13 -0.01  0.17  0.35     2  2.62
U[74,2]   0.02    0.11 0.18 -0.31 -0.11  0.03  0.12  0.39     3  2.45
U[75,1]  -0.09    0.14 0.24 -0.44 -0.26 -0.15  0.09  0.41     3  2.05
U[75,2]  -0.04    0.15 0.25 -0.45 -0.24 -0.06  0.17  0.40     3  1.87
U[76,1]  -0.06    0.18 0.36 -0.70 -0.36 -0.03  0.20  0.65     4  1.43
U[76,2]  -0.04    0.21 0.39 -0.79 -0.31 -0.03  0.24  0.68     4  1.61
U[77,1]  -0.10    0.17 0.27 -0.58 -0.28 -0.15  0.04  0.45     2  2.17
U[77,2]  -0.05    0.19 0.30 -0.64 -0.28 -0.02  0.20  0.43     2  2.14
U[78,1]   0.03    0.14 0.21 -0.34 -0.15  0.06  0.20  0.34     2  4.26
U[78,2]   0.00    0.14 0.21 -0.35 -0.16 -0.01  0.18  0.36     2  4.00
U[79,1]   0.20    0.31 0.80 -1.35 -0.37  0.11  0.76  1.76     7  1.20
